Season,DayNum,round
2010,138,1
2010,139,1
2010,140,2
2010,141,2
2010,145,3
2010,146,3
2010,147,4
2010,148,4
2010,153,5
2010,155,6
2011,138,1
2011,139,1
2011,140,2
2011,141,2
2011,145,3
2011,146,3
2011,147,4
2011,148,4
2011,153,5
2011,155,6
2012,138,1
2012,139,1
2012,140,2
2012,141,2
2012,145,3
2012,146,3
2012,147,4
2012,148,4
2012,153,5
2012,155,6
2013,138,1
2013,139,1
2013,140,2
2013,141,2
2013,145,3
2013,146,3
2013,147,4
2013,148,4
2013,153,5
2013,155,6
2014,138,1
2014,139,1
2014,140,2
2014,141,2
2014,145,3
2014,146,3
2014,147,4
2014,148,4
2014,153,5
2014,155,6
2015,137,1
2015,138,1
2015,139,2
2015,140,2
2015,144,3
2015,145,3
2015,146,4
2015,147,4
2015,153,5
2015,155,6
2016,137,1
2016,138,1
2016,139,2
2016,140,2
2016,144,3
2016,145,3
2016,146,4
2016,147,4
2016,153,5
2016,155,6
2017,137,1
2017,138,1
2017,139,2
2017,140,2
2017,144,3
2017,145,3
2017,146,4
2017,147,4
2017,151,5
2017,153,6
2018,137,1
2018,138,1
2018,139,2
2018,140,2
2018,144,3
2018,145,3
2018,146,4
2018,147,4
2018,151,5
2018,153,6
2019,137,1
2019,138,1
2019,139,2
2019,140,2
2019,144,3
2019,145,3
2019,146,4
2019,147,4
2019,151,5
2019,153,6
2021,139,1
2021,140,1
2021,141,2
2021,142,2
2021,145,3
2021,146,3
2021,147,4
2021,148,4
2021,151,5
2021,153,6
2022,135,0
2022,136,0
2022,137,1
2022,138,1
2022,139,2
2022,140,2
2022,144,3
2022,145,3
2022,146,4
2022,147,4
2022,151,5
2022,153,6
