TeamName,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9
Three Point Prophets,0.00619,0.13755,0.09474,0.1854,0.18514,0.21704,0.24486,0.2657,0.26443
Dunk Dunk Goose,0.22834,0.24236,0.20534,0.19151,0.17314,0.17325,0.1601,0.17933,0.17798
Double Dunk Dogs,0.22959,0.22581,0.19536,0.18709,0.15654,0.16429,0.15052,0.16302,0.16763
Good Question,0.2311,0.2459,0.19945,0.18538,0.15515,0.17986,0.18371,0.20248,0.21302
Have a Fast Breakfast,0.24017,0.20333,0.20028,0.19999,0.16835,0.17847,0.15994,0.17904,0.17555
RAAA23,0.24258,0.21523,0.18144,0.20207,0.16228,0.17307,0.17098,0.19127,0.19129
Maria and Friends,0.25458,0.22602,0.18551,0.17135,0.15477,0.17567,0.16663,0.18678,0.19599
T.R.A.V.I.S.,0.2648,0.20841,0.18418,0.1747,0.14823,0.1652,0.15342,0.17405,0.18985
Bernoulli Ballers,0.32097,0.3059,0.28008,0.25893,0.23009,0.23969,0.22401,0.24444,0.23667
KAKE01,0.34812,0.25044,0.21446,0.19356,0.15454,0.17165,0.16462,0.18525,0.18764
BSPN23,0.34819,0.25185,0.18731,0.16834,0.138,0.16009,0.14898,0.16836,0.17851
AnythingWorks1,0.3605,0.25321,0.2187,0.18358,0.14742,0.16884,0.15708,0.17746,0.17968
Widget Toy Set,0.4036,0.26105,0.22491,0.19933,0.16122,0.17538,0.15475,0.1735,0.17942
